SOURCE,PROFID,POLID,SPCID,SPLITFAC,DIVISOR,MASSFRAC
Tire Dust,92087.0,PM2_5,POC,0.472,1.0,0.472
Tire Dust,92087.0,PM2_5,PEC,0.22,1.0,0.22
Tire Dust,92087.0,PM2_5,PNH4,0.00019,1.0,0.00019
Tire Dust,92087.0,PM2_5,PNO3,0.0015,1.0,0.0015
Tire Dust,92087.0,PM2_5,PSO4,0.0311,1.0,0.0311
Tire Dust,92087.0,PM2_5,PNCOM,0.189,1.0,0.189
Tire Dust,92087.0,PM2_5,PH2O,0.00751,1.0,0.00751
Tire Dust,92087.0,PM2_5,PNA,0.00061,1.0,0.00061
Tire Dust,92087.0,PM2_5,PMG,0.000375,1.0,0.000375
Tire Dust,92087.0,PM2_5,PAL,0.000605,1.0,0.000605
Tire Dust,92087.0,PM2_5,PSI,0.00115,1.0,0.00115
Tire Dust,92087.0,PM2_5,PCL,0.0078,1.0,0.0078
Tire Dust,92087.0,PM2_5,PK,0.00038,1.0,0.00038
Tire Dust,92087.0,PM2_5,PCA,0.00112,1.0,0.00112
Tire Dust,92087.0,PM2_5,PTI,0.00036,1.0,0.00036
Tire Dust,92087.0,PM2_5,PMN,0.0001,1.0,0.0001
Tire Dust,92087.0,PM2_5,PFE,0.0046,1.0,0.0046
Tire Dust,92087.0,PM2_5,PMOTHR,0.0616,1.0,0.0616
